Date,Not indexed,Indexed,Impressions
2026-02-08,,,107
2026-02-09,20,29,135
2026-02-10,20,29,102
2026-02-11,20,29,89
2026-02-12,20,29,115
2026-02-13,20,29,78
2026-02-14,21,28,82
2026-02-15,21,28,137
2026-02-16,21,28,97
2026-02-17,22,27,109
2026-02-18,22,27,72
2026-02-19,22,27,52
2026-02-20,22,27,104
2026-02-21,24,25,77
2026-02-22,24,25,76
2026-02-23,24,25,205
2026-02-24,25,23,444
2026-02-25,25,23,98
2026-02-26,25,23,229
2026-02-27,25,23,379
2026-02-28,25,23,414
2026-03-01,25,23,218
2026-03-02,25,23,281
2026-03-03,25,23,201
2026-03-04,25,23,190
2026-03-05,25,23,187
2026-03-06,25,23,256
2026-03-07,27,21,240
2026-03-08,27,21,264
2026-03-09,27,21,151
2026-03-10,25,22,187
2026-03-11,25,22,246
2026-03-12,25,22,188
2026-03-13,25,22,249
2026-03-14,25,22,242
2026-03-15,25,22,246
2026-03-16,25,22,185
2026-03-17,26,21,156
2026-03-18,26,21,143
2026-03-19,26,21,155
2026-03-20,26,21,196
2026-03-21,27,21,218
2026-03-22,27,21,241
2026-03-23,27,21,174
2026-03-24,26,22,542
2026-03-25,26,22,245
2026-03-26,26,22,144
2026-03-27,26,22,168
2026-03-28,25,23,158
2026-03-29,25,23,155
2026-03-30,25,23,175
2026-03-31,25,23,267
2026-04-01,25,23,212
2026-04-02,25,23,150
2026-04-03,25,23,195
2026-04-04,25,23,103
2026-04-05,25,23,123
2026-04-06,25,23,100
2026-04-07,25,23,70
2026-04-08,25,23,152
2026-04-09,25,23,158
2026-04-10,25,23,141
2026-04-11,25,23,115
2026-04-12,25,23,133
2026-04-13,24,23,156
2026-04-14,24,23,102
2026-04-15,24,23,183
2026-04-16,24,23,128
2026-04-17,24,23,156
2026-04-18,24,23,153
2026-04-19,24,23,128
2026-04-20,27,20,91
2026-04-21,27,20,268
2026-04-22,27,20,433
2026-04-23,27,20,104
2026-04-24,25,22,105
2026-04-25,25,22,119
2026-04-26,25,22,153
2026-04-27,25,22,130
2026-04-28,25,22,210
2026-04-29,25,22,365
2026-04-30,25,22,239
2026-05-01,25,22,247
2026-05-02,25,22,243
2026-05-03,25,22,146
