src_link_id,src_url,src_title,src_domain_dr,src_domain_traffic,src_page_traffic,src_page_refdomains,src_page_ext_links,src_page_linked_domains,src_page_ur,root_name,is_root,is_spam_domain,link_type,is_dofollow,is_nofollow,is_ugc,is_sponsored,is_content,anchor,left_snippet,right_snippet,first_seen,last_seen,last_visited,http_code,redirect_code,lost_reason,target_url
-5793826565478829245,https://www.bbb.org/us/ok/moore/profile/electrical-contractors/spark-shark-electric-0995-90130075,Spark Shark Electric | BBB Business Profile | Better Business Bureau,93,3747160,1,0,18,10,0,bbb.org,True,False,text,False,True,False,False,False,Visit Website,,,2026-03-03T01:26:04Z,,2026-05-06T00:04:50Z,200,,,https://www.sparkshark.com/
1551049084345272,http://rss2.com/feeds/the-spark-shark-1/76/,"Professional Electrician | Moore & Oklahoma City, OK | Spark Shark (archive ID #76) - Read it at RSS2.com",8,0,0,0,53,25,0,rss2.com,True,False,image,False,True,False,False,True,External link Link for this entry,,,2024-01-11T16:28:42Z,,2026-02-01T08:23:23Z,200,,,http://sparkshark.com/archives/2011/07/26/an-introduction-to-online-poker/
45307539953966736,http://rss2.com/feeds/The-Spark-Shark-1/84/,"Professional Electrician | Moore & Oklahoma City, OK | Spark Shark (archive ID #84) - Read it at RSS2.com",8,0,0,0,41,21,0,rss2.com,True,False,text,False,True,False,False,False,http://www.SparkShark.com/feed/,Feed URL:,,2024-01-11T08:01:26Z,,2026-02-01T08:19:12Z,200,,,http://www.sparkshark.com/feed/
49819354789443246,http://rss2.com/feeds/the-spark-shark-1/58/,"Professional Electrician | Moore & Oklahoma City, OK | Spark Shark (archive ID #58) - Read it at RSS2.com",8,0,0,0,37,22,0,rss2.com,True,False,text,False,True,False,False,False,http://www.SparkShark.com/feed/,Feed URL:,,2024-01-12T11:49:49Z,,2026-02-01T22:43:02Z,200,,,http://www.sparkshark.com/feed/
55469971267748710,http://rss2.com/feeds/the-spark-shark-1/99/,"Professional Electrician | Moore & Oklahoma City, OK | Spark Shark - Read it at RSS2.com",8,0,0,0,45,24,0,rss2.com,True,False,text,False,True,False,False,True,"Smart Board, Ladies Tweed Jacket, How to Become a Locksmith",,,2024-01-10T23:51:08Z,,2026-01-24T06:54:31Z,200,,,http://sparkshark.com/archives/2012/03/18/smart-board-ladies-tweed-jacket-how-to-become-a-locksmith/
61372729095090465,http://rss2.com/feeds/the-spark-shark-1/68/,"Professional Electrician | Moore & Oklahoma City, OK | Spark Shark (archive ID #68) - Read it at RSS2.com",8,0,0,0,53,23,0,rss2.com,True,False,text,False,True,False,False,True,Solutions to Improve the Performance of the Computer System as Well as Increase the Performance,,,2024-01-12T00:24:55Z,,2026-02-01T14:39:23Z,200,,,http://sparkshark.com/archives/2011/06/18/solutions-to-improve-the-performance-of-the-computer-system-as-well-as-increase-the-performance/
71288267090581417,http://rss2.com/feeds/the-spark-shark-1/10/,"Professional Electrician | Moore & Oklahoma City, OK | Spark Shark (archive ID #10) - Read it at RSS2.com",8,0,0,0,34,16,0,rss2.com,True,False,text,False,True,False,False,True,How to Find the Best Balance Transfer Credit Cards,,,2024-01-10T23:41:58Z,,2026-02-01T12:37:22Z,200,,,http://sparkshark.com/archives/2008/11/21/how-to-find-the-best-balance-transfer-credit-cards/
80268248354306643,"https://debt-reduction-solution.com/credit_report/c,k/bloglist/credit+score+information,0",credit score information : How To Fix Your Credit Score (blog),41,0,0,0,37,27,0,debt-reduction-solution.com,True,True,text,True,False,False,False,True,[more...],never any guarantee you can restore it to “perfect” status,,2025-09-30T13:55:27Z,,2026-03-30T09:01:59Z,200,,,http://www.sparkshark.com/archives/2009/01/11/credit-repair-myths-exposed/
88461083680274389,"https://debt-reduction-solution.com/bad_credit/c,k/bloglist/professional+credit+repair,2",professional credit repair : Credit Mending (blog),41,0,0,0,3,3,0,debt-reduction-solution.com,True,True,text,True,False,False,False,True,[more...],no credit repair company can make deliberately false or misleading,,2026-04-25T04:39:50Z,,2026-04-25T04:39:50Z,200,,,http://sparkshark.com/archives/2008/12/27/the-credit-repair-organizations-act-croa/
110304591999448507,http://rss2.com/feeds/the-spark-shark-1/5/,"Professional Electrician | Moore & Oklahoma City, OK | Spark Shark (archive ID #5) - Read it at RSS2.com",8,0,0,0,38,16,0,rss2.com,True,False,text,False,True,False,False,True,Displyaing RSS Feeds on Your Web Page,,,2024-01-10T23:42:26Z,,2026-02-01T12:36:23Z,200,,,http://sparkshark.com/archives/2008/09/24/displyaing-rss-feeds-on-your-web-page/
