root_name,backlinks_count,dofollow_links,new_links,lost_links,domain_dr,domain_traffic,domain_positions,domain_refdomains,domain_linked_domains,is_spam_grouped,first_seen,last_seen
bbb.org,2,0,2,0,93,3747160,754540,178317,8780,False,2026-03-03T01:26:04Z,
buybacklinks.agency,2,0,2,0,79,0,0,307,1,True,2026-04-03T02:04:45Z,
rankyour.website,2,0,2,0,74,0,0,45,2,True,2026-05-02T07:35:41Z,
rank-top.click,2,0,2,0,74,0,0,43,1,True,2026-05-07T12:42:39Z,
agreatertown.com,1,0,1,0,60,181,169,2778,670,False,2026-05-08T12:03:35Z,
backlinker.shop,3,0,3,0,58,0,0,510,0,True,2025-09-28T06:21:30Z,
mu.nu,1,1,1,0,56,11362,41,6229,259128,True,2020-01-20T17:22:22Z,
anationofmoms.com,1,1,1,0,55,733,446,1943,23869,False,2026-04-21T23:36:55Z,
themusemark.com,1,1,1,0,49,430,65,493,1093,False,2026-04-16T18:18:42Z,
quero.party,6,0,6,0,48,0,1,392,18,True,2026-01-16T04:39:41Z,
bye.fyi,4,0,4,0,48,0,3,733,18,True,2026-01-02T02:21:01Z,
rankxlinks.shop,2,0,2,0,47,0,0,11,2,True,2026-04-29T19:20:27Z,
linkrankpro.shop,2,0,2,0,47,0,0,11,1,True,2026-04-25T10:58:13Z,
ranklinkerpro.shop,3,0,3,0,47,0,0,11,2,True,2026-04-25T11:10:37Z,
debt-reduction-solution.com,353,353,353,0,41,0,0,64,6863,True,2025-08-30T05:01:02Z,
analyticshaven.top,3,0,3,0,40,0,0,103,18,True,2026-02-11T19:42:42Z,
metamagic.top,3,0,3,0,39,0,0,79,18,True,2026-03-31T22:31:18Z,
optimizeflow.top,2,0,2,0,38,0,0,131,18,True,2026-04-24T02:46:02Z,
jake.eu,2,0,2,0,38,0,0,89,1275,True,2025-12-28T02:24:40Z,
kgzxkf.com,1,1,1,0,36,0,0,1306,5,True,2026-01-06T06:14:03Z,
sitescooponline.com,1,1,1,0,33,0,0,1097,318707,True,2025-12-23T03:10:10Z,
seoagency.sale,3,0,3,0,32,0,0,331,0,True,2025-12-18T18:06:49Z,
moranalytics.com,1,1,1,0,31,9343,342,168,1695,False,2026-04-16T13:55:57Z,
seo-high-ranking.shop,2,0,2,0,29,0,0,1169,37,True,2026-04-22T13:32:09Z,
thebacklink.shop,3,0,3,0,29,0,0,692,50,True,2026-05-02T23:10:32Z,
nettools.guru,1,1,1,0,29,0,0,1287,398968381,True,2025-12-20T22:49:18Z,
seoexpress.website,2,0,2,0,29,0,0,718,50,True,2026-04-27T01:21:38Z,
therankinghighseo.shop,2,0,2,0,29,0,0,699,50,True,2026-04-19T03:19:35Z,
theseohighranking.shop,2,0,2,0,29,0,0,696,50,True,2026-05-02T04:55:47Z,
ekenkoshop.shop,3,0,3,0,29,0,0,693,50,True,2026-05-03T15:05:30Z,
kawaiishop.shop,2,0,2,0,29,0,0,694,50,True,2026-05-02T16:42:00Z,
