pageReferrer,sessionSource,sessionMedium,sessions,totalUsers
https://www.google.com/,directory,referral,33,27
https://www.facebook.com/,facebook.com,referral,27,27
,tagassistant.google.com,referral,23,3
https://www.yelp.com/,yelp.com,referral,22,21
http://m.facebook.com/,m.facebook.com,referral,21,21
https://www.sparkshark.com/?utm_source=directory&utm_medium=referral&utm_campaign=directory_citation,directory,referral,18,14
,scoretask.coalitiontechnologies.com,referral,14,2
http://m.facebook.com,m.facebook.com,referral,13,13
,directory,referral,11,9
,search.google.com,referral,10,2
https://m.yelp.com/,m.yelp.com,referral,10,10
https://www.sparkshark.com/,yelp.com,referral,10,10
https://flancoelectric.wpengine.com/,flancoelectric.wpengine.com,referral,8,3
https://lm.facebook.com/,lm.facebook.com,referral,8,8
,flancoelectric.wpengine.com,referral,7,2
https://l.facebook.com/,l.facebook.com,referral,6,6
https://www.sparkshark.com/,tagassistant.google.com,referral,6,3
https://www.sparkshark.com/wp-admin/post.php?post=314&action=elementor,search.google.com,referral,6,1
,googlechrome.github.io,referral,5,1
,siteliner.com,referral,5,1
https://docs.google.com/,docs.google.com,referral,5,4
https://national.lightning.force.com/,national.lightning.force.com,referral,5,4
https://bluebbb.org/,bluebbb.org,referral,4,4
https://exchange.construction/,exchange.construction,referral,4,3
https://goodleap.lightning.force.com/,goodleap.lightning.force.com,referral,4,4
https://l.instagram.com/,l.instagram.com,referral,4,4
https://search.google.com/,search.google.com,referral,4,2
https://www.sparkshark.com/about-us/,directory,referral,4,3
https://www.sparkshark.com/contact-us/,tagassistant.google.com,referral,4,2
https://moranalytics.com/,moranalytics.com,referral,3,3
https://www.sparkshark.com/,docs.google.com,referral,3,2
https://www.sparkshark.com/,goodleap.lightning.force.com,referral,3,3
https://www.sparkshark.com/,googlechrome.github.io,referral,3,1
https://www.sparkshark.com/,m.facebook.com,referral,3,3
https://yelp-sales--c.vf.force.com/,yelp-sales--c.vf.force.com,referral,3,2
,claude.ai,referral,2,1
,servicetitan.lightning.force.com,referral,2,1
http://m.baidu.com/,m.baidu.com,referral,2,2
https://claude.ai/,claude.ai,referral,2,1
https://designschedulesales.lightning.force.com/,designschedulesales.lightning.force.com,referral,2,2
https://flancoelectricok.com/electrical-repair-and-service/,flancoelectric.wpengine.com,referral,2,1
https://scoretask.coalitiontechnologies.com/,scoretask.coalitiontechnologies.com,referral,2,2
https://servicetitan.lightning.force.com/,servicetitan.lightning.force.com,referral,2,2
https://www.google.com/,flancoelectric.wpengine.com,referral,2,2
https://www.houzz.com/,houzz.com,referral,2,1
https://www.sparkshark.com/,national.lightning.force.com,referral,2,2
https://www.sparkshark.com/,search.google.com,referral,2,1
https://www.sparkshark.com/,servicetitan.lightning.force.com,referral,2,1
https://www.sparkshark.com/,sparkshark.com,referral,2,2
https://www.sparkshark.com/2024/01/24/why-you-should-hire-a-professional-for-electrical-installations/,siteliner.com,referral,2,1
https://www.sparkshark.com/?fbclid=IwY2xjawN5_T1leHRuA2FlbQIxMABicmlkETFQNkpkWXpPSk91NjFXZWhLc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHk-Mkb85vkbs2kDXGy23yWhJhDGd-oBawNSLr_WWpi1ID_od07Q2sVZykSG5_aem_VhR69f3VYjkTvr-P-fwzNA,l.facebook.com,referral,2,1
https://www.sparkshark.com/about-us/,goodleap.lightning.force.com,referral,2,2
https://www.sparkshark.com/about-us/,national.lightning.force.com,referral,2,1
https://www.sparkshark.com/about-us/,search.google.com,referral,2,1
https://www.sparkshark.com/about-us/,yelp.com,referral,2,2
https://www.sparkshark.com/blogs/,claude.ai,referral,2,1
https://www.sparkshark.com/contact-us/,moranalytics.com,referral,2,2
https://www.sparkshark.com/contact-us/,yelp.com,referral,2,2
https://www.sparkshark.com/electrical-installation/,googlechrome.github.io,referral,2,1
https://www.sparkshark.com/electrical-installation/,search.google.com,referral,2,1
https://www.sparkshark.com/generators/,search.google.com,referral,2,1
https://www.sparkshark.com/residential-electrical-solutions/,googlechrome.github.io,referral,2,1
https://www.sparkshark.com/residential-electrical-solutions/,search.google.com,referral,2,1
https://www.sparkshark.com/services/emergency-electrician/,moranalytics.com,referral,2,2
https://www.udu.io/,udu.io,referral,2,1
https://www.yelp.co.uk/,yelp.co.uk,referral,2,2
,l.facebook.com,referral,1,1
,m.yelp.ca,referral,1,1
,m.yelp.com,referral,1,1
,moranalytics.com,referral,1,1
,national.lightning.force.com,referral,1,1
,sparksharkstg.wpenginepowered.com,referral,1,1
,yelp.com,referral,1,1
https://admin.yelp.com/,admin.yelp.com,referral,1,1
https://bize.admin.yelp.com/,admin.yelp.com,referral,1,1
https://biztools.corp.google.com/,biztools.corp.google.com,referral,1,1
https://chatgpt.com/,chatgpt.com,referral,1,1
https://docs.google.com/,chatgpt.com,referral,1,1
https://flancoelectricok.com/,designschedulesales.lightning.force.com,referral,1,1
https://flancoelectricok.com/,flancoelectric.wpengine.com,referral,1,1
https://flancoelectricok.com/,servicetitan.lightning.force.com,referral,1,1
https://flancoelectricok.com/contact-us/,flancoelectric.wpengine.com,referral,1,1
https://flancoelectricok.com/contact-us/,servicetitan.lightning.force.com,referral,1,1
https://flancoelectricok.com/services/,flancoelectric.wpengine.com,referral,1,1
https://l.facebook.com/,chatgpt.com,referral,1,1
https://m.yelp.ca/,m.yelp.ca,referral,1,1
https://marketspacesales.com/,marketspacesales.com,referral,1,1
https://national.lightning.force.com/,directory,referral,1,1
https://phmediagroup.lightning.force.com/,phmediagroup.lightning.force.com,referral,1,1
https://retool.plaid.io/,retool.plaid.io,referral,1,1
https://shoguninc0000000000.lightning.force.com/,shoguninc0000000000.lightning.force.com,referral,1,1
https://tagassistant.google.com/,tagassistant.google.com,referral,1,1
https://themusemark.com/,themusemark.com,referral,1,1
https://valpak.lightning.force.com/,valpak.lightning.force.com,referral,1,1
https://www.generac.com/,generac.com,referral,1,1
https://www.google.com/,docs.google.com,referral,1,1
https://www.google.com/,scoretask.coalitiontechnologies.com,referral,1,1
https://www.google.com/,search.google.com,referral,1,1
https://www.google.com/,siteliner.com,referral,1,1
https://www.itecfinder.com/,itecfinder.com,referral,1,1
https://www.linkedin.com/,linkedin.com,referral,1,1
https://www.mapquest.com/,mapquest.com,referral,1,1
https://www.siteliner.com/,siteliner.com,referral,1,1
https://www.sparkshark.com/,claude.ai,referral,1,1
https://www.sparkshark.com/,directory,referral,1,1
https://www.sparkshark.com/,lm.facebook.com,referral,1,1
https://www.sparkshark.com/,m.yelp.com,referral,1,1
https://www.sparkshark.com/,mapquest.com,referral,1,1
https://www.sparkshark.com/,marketspacesales.com,referral,1,1
https://www.sparkshark.com/,siteliner.com,referral,1,1
https://www.sparkshark.com/,themusemark.com,referral,1,1
https://www.sparkshark.com/,youtube.com,referral,1,1
https://www.sparkshark.com/2023/12/28/what-is-lorem-ipsum-2/,siteliner.com,referral,1,1
https://www.sparkshark.com/2024/01/03/ground-fault-interrupters-the-power-of-gfi-outlets-by-flanco-electric/,search.google.com,referral,1,1
https://www.sparkshark.com/2024/01/03/ground-fault-interrupters-the-power-of-gfi-outlets-by-flanco-electric/,siteliner.com,referral,1,1
https://www.sparkshark.com/2024/01/03/stay-powered-up-essential-electrical-winter-safety-tips/,siteliner.com,referral,1,1
https://www.sparkshark.com/2024/01/24/why-you-need-a-professional-for-generator-installation/,siteliner.com,referral,1,1
https://www.sparkshark.com/?fbclid=IwY2xjawLj091leHRuA2FlbQIxMABicmlkETFVSno4OTlGSENBd1NwbHZPAR7tXcSswvuVhYlmeYVHwvmRLs0rSfIMjScB825M-g_7f-dcaWrG2tVO7SiE5Q_aem_K5RFFG0nDsWlkxUwKAi5DA,l.facebook.com,referral,1,1
https://www.sparkshark.com/?fbclid=IwY2xjawQJzUhleHRuA2FlbQIxMABicmlkETJyQlZack1hazFKeFpQREJRc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgw8JtfiEf1N3RpjAmX4nEpAhnKRyF4A9iXL_Ekjl40AjrmPP-cq-jLSEyc8_aem_PfdqBvOOb3eiBN7A11Ok2A,l.facebook.com,referral,1,1
https://www.sparkshark.com/?nocache=1,tagassistant.google.com,referral,1,1
https://www.sparkshark.com/?s=career,directory,referral,1,1
https://www.sparkshark.com/?s=thank,siteliner.com,referral,1,1
https://www.sparkshark.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,search.google.com,referral,1,1
https://www.sparkshark.com/blogs/,search.google.com,referral,1,1
https://www.sparkshark.com/blogs/,siteliner.com,referral,1,1
https://www.sparkshark.com/blogs/,tagassistant.google.com,referral,1,1
https://www.sparkshark.com/category/flanco-blog/,lm.facebook.com,referral,1,1
https://www.sparkshark.com/category/flanco-blog/,siteliner.com,referral,1,1
https://www.sparkshark.com/contact-us/,bluebbb.org,referral,1,1
https://www.sparkshark.com/contact-us/,docs.google.com,referral,1,1
https://www.sparkshark.com/contact-us/,googlechrome.github.io,referral,1,1
https://www.sparkshark.com/contact-us/,search.google.com,referral,1,1
https://www.sparkshark.com/contact-us/,servicetitan.lightning.force.com,referral,1,1
https://www.sparkshark.com/electrical-installation/,siteliner.com,referral,1,1
https://www.sparkshark.com/electrical-installation/,valpak.lightning.force.com,referral,1,1
https://www.sparkshark.com/electrical-installation/,yelp.com,referral,1,1
https://www.sparkshark.com/electrical-panels/,googlechrome.github.io,referral,1,1
https://www.sparkshark.com/electrical-panels/,search.google.com,referral,1,1
https://www.sparkshark.com/electrical-repair-and-service/,search.google.com,referral,1,1
https://www.sparkshark.com/faqs,siteliner.com,referral,1,1
https://www.sparkshark.com/generators/,siteliner.com,referral,1,1
https://www.sparkshark.com/generators/,yelp.com,referral,1,1
https://www.sparkshark.com/industrial-electrical-solutions/,search.google.com,referral,1,1
https://www.sparkshark.com/industrial-electrical-solutions/?utm_source=chatgpt.com,chatgpt.com,referral,1,1
https://www.sparkshark.com/lander,search.google.com,referral,1,1
https://www.sparkshark.com/residential-electrical-solutions/,goodleap.lightning.force.com,referral,1,1
https://www.sparkshark.com/residential-electrical-solutions/,tagassistant.google.com,referral,1,1
https://www.sparkshark.com/services/emergency-electrician/,themusemark.com,referral,1,1
https://www.sparkshark.com/wp-admin/about.php,search.google.com,referral,1,1
https://www.sparkshark.com/wp-admin/post-new.php?post_type=seopress_404&post_title=2024%2F01%2F03%2Fpowering-tomorrow-a-comprehensive-guide-to-new-construction-wiring-with-flanco-electric-2&prepare_redirect=1&key=0,search.google.com,referral,1,1
https://www.sparkshark.com/wp-admin/post.php?post=314&action=elementor&active-document=2658,search.google.com,referral,1,1
https://www.sparkshark.com/wp-admin/post.php?post=3177&action=elementor,tagassistant.google.com,referral,1,1
https://www.youtube.com/,youtube.com,referral,1,1
